,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
366,20591,25530,19515,21359
367,20591,25530,19515,21359
368,20591,25530,19515,21359
369,20591,25530,19515,21359
370,20591,25530,19515,21359
371,20591,25373,19515,21359
372,20591,25373,19515,21359
373,20591,25373,19515,21359
374,20591,25373,19515,21359
375,20591,25373,19515,21359
376,20591,25318,19515,21359
377,20591,25318,19515,21359
378,20591,25318,19515,21359
379,20591,25318,19515,21359
380,20591,25318,19515,21359
381,20591,25312,19515,21359
382,20591,25312,19515,21359
383,20591,25312,19515,21359
384,20591,25312,19515,21359
385,20591,25312,19515,21359
386,20591,25312,19515,21359
387,20591,25312,19515,21359
388,20591,25312,19515,21359
389,20591,25312,19515,21359
390,20591,25312,19515,21359
391,20591,25312,19515,21359
392,20591,25312,19515,21359
393,20591,25312,19515,21359
394,20591,25312,19515,21359
395,20591,25312,19515,21359
396,20591,25290,19515,21359
397,20591,25290,19515,21359
398,20591,25290,19515,21359
399,20591,25290,19515,21359
400,20591,25290,19515,21359
401,20591,25290,19515,21359
402,20591,25290,19515,21359
403,20591,25290,19515,21359
404,20591,25290,19515,21359
405,20591,25290,19515,21359
406,20591,25290,19515,21359
407,20591,25290,19515,21359
408,20591,25290,19515,21359
409,20591,25054,19515,21359
410,20591,25054,19515,21359
411,20591,24995,19515,21359
412,20591,24995,19515,21359
413,20591,24995,19515,21359
414,20591,24995,19515,21359
415,20591,24995,19515,21359
416,20591,24995,19515,21359
417,20591,24995,19515,21359
418,20591,24995,19515,21359
419,20591,24995,19515,21359
420,20591,24995,19515,21359
421,20591,24995,19515,21359
422,20591,24995,19515,21359
423,20591,24995,19515,21359
424,20591,24995,19515,21359
425,20591,24995,19515,21359
426,20591,24995,19515,21359
427,20591,24995,19515,21359
428,20591,24995,19515,21359
429,20591,24995,19515,21359
430,20591,24995,19515,21359
431,20591,24995,19515,21359
432,20591,24995,19515,21359
433,20591,24995,19515,21359
434,20591,24995,19515,21359
435,20591,24995,19515,21359
436,20591,24995,19515,21359
437,20591,24995,19515,21359
438,20591,24995,19515,21359
439,20591,24995,19515,21359
440,20591,24995,19515,21359
441,20591,24995,19515,21359
442,20591,24995,19515,21359
443,20591,24995,19515,21359
444,20591,24995,19515,21359
445,20591,24995,19515,21359
446,20591,24995,19515,21359
447,20591,24995,19515,21359
448,20591,24995,19515,21359
449,20591,24995,19515,21359
450,20591,24995,19515,21359
451,20591,24995,19515,21359
452,20591,24995,19515,21359
453,20591,24995,19515,21359
454,20591,24864,19515,21359
455,20591,24864,19515,21359
456,20591,24864,19515,21359
457,20591,24864,19515,21359
458,20591,24864,19515,21359
459,20591,24864,19515,21359
460,20591,24860,19515,21359
461,20591,24860,19515,21359
462,20591,24860,19515,21359
463,20591,24860,19515,21359
464,20591,24860,19515,21359
465,20591,24860,19515,21359
466,20591,24860,19515,21359
467,20591,24860,19515,21359
468,20591,24860,19515,21359
469,20591,24860,19515,21359
470,20591,24860,19515,21359
471,20591,24860,19515,21359
472,20591,24860,19515,21359
473,20591,24860,19515,21359
474,20591,24860,19515,21359
